frame,wheel,cat,drops,level,tf,az
BMC Timemachine01,Mavic Cosmic Ultimate UST,TT,923000,24,49:39.0,50:18.0
BMC Timemachine01,Novatec R4,TT,876900,24,49:54.5,50:17.0
BMC Timemachine01,Roval Alpinist CLX,TT,916300,32,49:45.0,49:56.0
BMC Timemachine01,Roval CLX64,TT,951400,24,49:28.0,50:12.0
BMC Timemachine01,Roval Rapide CLX,TT,976300,24,49:28.0,50:07.0
BMC Timemachine01,Shimano C40,TT,866300,24,49:46.0,50:15.5
BMC Timemachine01,Shimano C50,TT,869700,28,49:23.5,50:19.5
BMC Timemachine01,Shimano C50,TT,869700,28,49:23.5,50:19.5
BMC Timemachine01,Shimano C60,TT,873300,24,49:35.0,50:23.0
BMC Timemachine01,Zipp 202,TT,930200,24,49:53.0,50:06.5
BMC Timemachine01,Zipp 353 NSW,TT,1036600,24,49:29.0,50:04.0
BMC Timemachine01,Zipp 404,TT,930200,24,49:25.0,50:08.0
BMC Timemachine01,Zipp 454,TT,1065000,24,49:22.0,50:05.0
BMC Timemachine01,Zipp 808,TT,958600,24,49:16.0,50:14.0
BMC Timemachine01,Zipp 808/Super9,TT,1856700,35,49:07.0,50:23.0
BMC Timemachine01,Zipp 858,TT,1093400,37,49:12.0,50:11.0
BMC Timemachine01,Zipp 858/Super9,TT,2289800,45,49:05.0,50:22.0
BMC Timemachine01,Zwift 32mm Carbon,TT,781000,24,49:58.0,50:12.0
BMC Timemachine01,Zwift 50mm Carbon,TT,901700,24,49:45.5,50:13.0
BMC Timemachine01,Zwift Buffalo Fahrrad,TT,784200,40,50:03.0,50:19.0
BMC Timemachine01,Zwift Classic,TT,816600,24,50:04.0,50:20.0
BMC Timemachine01,Zwift Safety,TT,1491000,44,49:58.5,50:11.5
Bridgestone Anchor RS9s,Bontrager Aeolus5,Road,681600,20,51:14.0,48:53.5
Bridgestone Anchor RS9s,CADEX 36,Road,768600,26,51:26.5,48:49.0
Bridgestone Anchor RS9s,CADEX 42,Road,738400,15,51:17.0,48:51.5
Bridgestone Anchor RS9s,Campagnolo Bora Ultra 35,Road,759700,33,51:33.5,48:51.0
Bridgestone Anchor RS9s,Campagnolo Bora Ultra 50,Road,773900,27,51:07.0,48:51.0
Bridgestone Anchor RS9s,DT Swiss ARC 1100 DICUT 62,Road,695800,15,50:59.0,48:50.0
Bridgestone Anchor RS9s,DT Swiss ARC 1100 DICUT DISC,Road,2091000,42,50:33.5,49:08.5
Bridgestone Anchor RS9s,ENVE SES 2.2,Road,702900,17,51:33.0,48:51.0
Bridgestone Anchor RS9s,ENVE SES 3.4,Road,702900,15,51:07.0,48:49.5
Bridgestone Anchor RS9s,ENVE SES 6.7,Road,702900,25,51:01.0,48:57.5
Bridgestone Anchor RS9s,ENVE SES 7.8,Road,717100,39,50:48.5,48:53.5
Bridgestone Anchor RS9s,ENVE SES 8.9,Road,717100,31,50:49.5,49:02.0
Bridgestone Anchor RS9s,FFWD RYOT55,Road,624900,23,51:06.5,48:49.5
Bridgestone Anchor RS9s,Giant SLR 0,Road,703000,22,51:10.0,48:50.0
Bridgestone Anchor RS9s,Lightweight Meilenstein,Road,511200,15,51:19.5,48:41.5
Bridgestone Anchor RS9s,Mavic Comete Pro Carbon SL UST,Road,653200,23,51:07.5,49:08.0
Bridgestone Anchor RS9s,Mavic Cosmic CXR60c,Road,653200,16,51:11.5,49:06.0
Bridgestone Anchor RS9s,Mavic Cosmic Ultimate UST,Road,653200,15,51:14.0,49:03.5
Bridgestone Anchor RS9s,Novatec R4,Road,607100,24,51:29.5,49:02.5
Bridgestone Anchor RS9s,Roval Alpinist CLX,Road,646500,32,51:20.0,48:41.5
Bridgestone Anchor RS9s,Roval CLX64,Road,681600,15,51:03.0,48:57.5
Bridgestone Anchor RS9s,Roval Rapide CLX,Road,706500,15,51:03.0,48:52.5
Bridgestone Anchor RS9s,Shimano C40,Road,596500,15,51:21.0,49:01.0
Bridgestone Anchor RS9s,Shimano C50,Road,599900,28,50:58.5,49:05.0
Bridgestone Anchor RS9s,Shimano C50,Road,599900,28,50:58.5,49:05.0
Bridgestone Anchor RS9s,Shimano C60,Road,603500,18,51:10.0,49:08.5
Bridgestone Anchor RS9s,Zipp 202,Road,660400,15,51:28.0,48:52.0
Bridgestone Anchor RS9s,Zipp 353 NSW,Road,766800,19,51:04.0,48:49.5
Bridgestone Anchor RS9s,Zipp 404,Road,660400,15,51:00.0,48:53.5
Bridgestone Anchor RS9s,Zipp 454,Road,795200,24,50:57.0,48:50.5
Bridgestone Anchor RS9s,Zipp 808,Road,688800,15,50:51.0,48:59.5
Bridgestone Anchor RS9s,Zipp 808/Super9,Road,1586900,35,50:42.0,49:08.5
Bridgestone Anchor RS9s,Zipp 858,Road,823600,37,50:47.0,48:56.5
Bridgestone Anchor RS9s,Zipp 858/Super9,Road,2020000,45,50:40.0,49:07.5
Bridgestone Anchor RS9s,Zwift 32mm Carbon,Road,511200,15,51:33.0,48:57.5
Bridgestone Anchor RS9s,Zwift 50mm Carbon,Road,631900,15,51:20.5,48:58.5
Bridgestone Anchor RS9s,Zwift Buffalo Fahrrad,Road,514400,40,51:38.0,49:04.5
Bridgestone Anchor RS9s,Zwift Classic,Road,546800,15,51:39.0,49:05.5
Bridgestone Anchor RS9s,Zwift Safety,Road,1221200,44,51:33.5,48:57.0
Cannondale CAAD12,Bontrager Aeolus5,Road,354900,20,51:16.0,49:26.5
Cannondale CAAD12,CADEX 36,Road,441900,26,51:28.5,49:22.0
Cannondale CAAD12,CADEX 42,Road,411700,8,51:19.0,49:24.5
Cannondale CAAD12,Campagnolo Bora Ultra 35,Road,433000,33,51:35.5,49:24.0
Cannondale CAAD12,Campagnolo Bora Ultra 50,Road,447200,27,51:09.0,49:24.0
Cannondale CAAD12,DT Swiss ARC 1100 DICUT 62,Road,369100,6,51:01.0,49:23.0
Cannondale CAAD12,DT Swiss ARC 1100 DICUT DISC,Road,1764300,42,50:35.5,49:41.5
Cannondale CAAD12,ENVE SES 2.2,Road,376200,17,51:35.0,49:24.0
Cannondale CAAD12,ENVE SES 3.4,Road,376200,4,51:09.0,49:22.5
Cannondale CAAD12,ENVE SES 6.7,Road,376200,25,51:03.0,49:30.5
Cannondale CAAD12,ENVE SES 7.8,Road,390400,39,50:50.5,49:26.5
Cannondale CAAD12,ENVE SES 8.9,Road,390400,31,50:51.5,49:35.0
Cannondale CAAD12,FFWD RYOT55,Road,298200,23,51:08.5,49:22.5
Cannondale CAAD12,Giant SLR 0,Road,376300,22,51:12.0,49:23.0
Cannondale CAAD12,Lightweight Meilenstein,Road,184500,2,51:21.5,49:14.5
Cannondale CAAD12,Mavic Comete Pro Carbon SL UST,Road,326500,23,51:09.5,49:41.0
Cannondale CAAD12,Mavic Cosmic CXR60c,Road,326500,16,51:13.5,49:39.0
Cannondale CAAD12,Mavic Cosmic Ultimate UST,Road,326500,9,51:16.0,49:36.5
Cannondale CAAD12,Novatec R4,Road,280400,24,51:31.5,49:35.5
Cannondale CAAD12,Roval Alpinist CLX,Road,319800,32,51:22.0,49:14.5
Cannondale CAAD12,Roval CLX64,Road,354900,5,51:05.0,49:30.5
Cannondale CAAD12,Roval Rapide CLX,Road,379800,14,51:05.0,49:25.5
Cannondale CAAD12,Shimano C40,Road,269800,12,51:23.0,49:34.0
Cannondale CAAD12,Shimano C50,Road,273200,28,51:00.5,49:38.0
Cannondale CAAD12,Shimano C50,Road,273200,28,51:00.5,49:38.0
Cannondale CAAD12,Shimano C60,Road,276800,18,51:12.0,49:41.5
Cannondale CAAD12,Zipp 202,Road,333700,11,51:30.0,49:25.0
Cannondale CAAD12,Zipp 353 NSW,Road,440100,19,51:06.0,49:22.5
Cannondale CAAD12,Zipp 404,Road,333700,15,51:02.0,49:26.5
Cannondale CAAD12,Zipp 454,Road,468500,24,50:59.0,49:23.5
Cannondale CAAD12,Zipp 808,Road,362100,13,50:53.0,49:32.5
Cannondale CAAD12,Zipp 808/Super9,Road,1260200,35,50:44.0,49:41.5
Cannondale CAAD12,Zipp 858,Road,496900,37,50:49.0,49:29.5
Cannondale CAAD12,Zipp 858/Super9,Road,1693300,45,50:42.0,49:40.5
Cannondale CAAD12,Zwift 32mm Carbon,Road,184500,2,51:35.0,49:30.5
Cannondale CAAD12,Zwift 50mm Carbon,Road,305200,7,51:22.5,49:31.5
Cannondale CAAD12,Zwift Buffalo Fahrrad,Road,187700,40,51:40.0,49:37.5
Cannondale CAAD12,Zwift Classic,Road,220100,2,51:41.0,49:38.5
Cannondale CAAD12,Zwift Safety,Road,894500,44,51:35.5,49:30.0
Cannondale EVO,Bontrager Aeolus5,Road,383400,20,51:14.0,48:50.5
Cannondale EVO,CADEX 36,Road,470400,26,51:26.5,48:46.0
Cannondale EVO,CADEX 42,Road,440200,9,51:17.0,48:48.5
Cannondale EVO,Campagnolo Bora Ultra 35,Road,461500,33,51:33.5,48:48.0
Cannondale EVO,Campagnolo Bora Ultra 50,Road,475700,27,51:07.0,48:48.0
Cannondale EVO,DT Swiss ARC 1100 DICUT 62,Road,397600,9,50:59.0,48:47.0
Cannondale EVO,DT Swiss ARC 1100 DICUT DISC,Road,1792800,42,50:33.5,49:05.5
Cannondale EVO,ENVE SES 2.2,Road,404700,17,51:33.0,48:48.0
Cannondale EVO,ENVE SES 3.4,Road,404700,9,51:07.0,48:46.5
Cannondale EVO,ENVE SES 6.7,Road,404700,25,51:01.0,48:54.5
Cannondale EVO,ENVE SES 7.8,Road,418900,39,50:48.5,48:50.5
Cannondale EVO,ENVE SES 8.9,Road,418900,31,50:49.5,48:59.0
Cannondale EVO,FFWD RYOT55,Road,326700,23,51:06.5,48:46.5
Cannondale EVO,Giant SLR 0,Road,404800,22,51:10.0,48:47.0
Cannondale EVO,Lightweight Meilenstein,Road,213000,9,51:19.5,48:38.5
Cannondale EVO,Mavic Comete Pro Carbon SL UST,Road,355000,23,51:07.5,49:05.0
Cannondale EVO,Mavic Cosmic CXR60c,Road,355000,16,51:11.5,49:03.0
Cannondale EVO,Mavic Cosmic Ultimate UST,Road,355000,9,51:14.0,49:00.5
Cannondale EVO,Novatec R4,Road,308900,24,51:29.5,48:59.5
Cannondale EVO,Roval Alpinist CLX,Road,348300,32,51:20.0,48:38.5
Cannondale EVO,Roval CLX64,Road,383400,9,51:03.0,48:54.5
Cannondale EVO,Roval Rapide CLX,Road,408300,14,51:03.0,48:49.5
Cannondale EVO,Shimano C40,Road,298300,12,51:21.0,48:58.0
Cannondale EVO,Shimano C50,Road,301700,28,50:58.5,49:02.0
Cannondale EVO,Shimano C50,Road,301700,28,50:58.5,49:02.0
Cannondale EVO,Shimano C60,Road,305300,18,51:10.0,49:05.5
Cannondale EVO,Zipp 202,Road,362200,11,51:28.0,48:49.0
Cannondale EVO,Zipp 353 NSW,Road,468600,19,51:04.0,48:46.5
Cannondale EVO,Zipp 404,Road,362200,15,51:00.0,48:50.5
Cannondale EVO,Zipp 454,Road,497000,24,50:57.0,48:47.5
Cannondale EVO,Zipp 808,Road,390600,13,50:51.0,48:56.5
Cannondale EVO,Zipp 808/Super9,Road,1288700,35,50:42.0,49:05.5
Cannondale EVO,Zipp 858,Road,525400,37,50:47.0,48:53.5
Cannondale EVO,Zipp 858/Super9,Road,1721800,45,50:40.0,49:04.5
Cannondale EVO,Zwift 32mm Carbon,Road,213000,9,51:33.0,48:54.5
Cannondale EVO,Zwift 50mm Carbon,Road,333700,9,51:20.5,48:55.5
Cannondale EVO,Zwift Buffalo Fahrrad,Road,216200,40,51:38.0,49:01.5
Cannondale EVO,Zwift Classic,Road,248600,9,51:39.0,49:02.5
Cannondale EVO,Zwift Safety,Road,923000,44,51:33.5,48:54.0
Cannondale Super Six Evo,Bontrager Aeolus5,Road,986900,36,51:11.0,48:56.0
Cannondale Super Six Evo,CADEX 36,Road,1073900,36,51:23.5,48:51.5
Cannondale Super Six Evo,CADEX 42,Road,1043700,36,51:14.0,48:54.0
Cannondale Super Six Evo,Campagnolo Bora Ultra 35,Road,1065000,36,51:30.5,48:53.5
Cannondale Super Six Evo,Campagnolo Bora Ultra 50,Road,1079200,36,51:04.0,48:53.5
Cannondale Super Six Evo,DT Swiss ARC 1100 DICUT 62,Road,1001100,36,50:56.0,48:52.5
Cannondale Super Six Evo,DT Swiss ARC 1100 DICUT DISC,Road,2396300,42,50:30.5,49:11.0
Cannondale Super Six Evo,ENVE SES 2.2,Road,1008200,36,51:30.0,48:53.5
Cannondale Super Six Evo,ENVE SES 3.4,Road,1008200,36,51:04.0,48:52.0
Cannondale Super Six Evo,ENVE SES 6.7,Road,1008200,36,50:58.0,49:00.0
Cannondale Super Six Evo,ENVE SES 7.8,Road,1022400,39,50:45.5,48:56.0
Cannondale Super Six Evo,ENVE SES 8.9,Road,1022400,36,50:46.5,49:04.5
Cannondale Super Six Evo,FFWD RYOT55,Road,930200,36,51:03.5,48:52.0
Cannondale Super Six Evo,Giant SLR 0,Road,1008300,36,51:07.0,48:52.5
Cannondale Super Six Evo,Lightweight Meilenstein,Road,816500,36,51:16.5,48:44.0
Cannondale Super Six Evo,Mavic Comete Pro Carbon SL UST,Road,958500,36,51:04.5,49:10.5
Cannondale Super Six Evo,Mavic Cosmic CXR60c,Road,958500,36,51:08.5,49:08.5
Cannondale Super Six Evo,Mavic Cosmic Ultimate UST,Road,958500,36,51:11.0,49:06.0
Cannondale Super Six Evo,Novatec R4,Road,912400,36,51:26.5,49:05.0
Cannondale Super Six Evo,Roval Alpinist CLX,Road,951800,36,51:17.0,48:44.0
Cannondale Super Six Evo,Roval CLX64,Road,986900,36,51:00.0,49:00.0
Cannondale Super Six Evo,Roval Rapide CLX,Road,1011800,36,51:00.0,48:55.0
Cannondale Super Six Evo,Shimano C40,Road,901800,36,51:18.0,49:03.5
Cannondale Super Six Evo,Shimano C50,Road,905200,36,50:55.5,49:07.5
Cannondale Super Six Evo,Shimano C50,Road,905200,36,50:55.5,49:07.5
Cannondale Super Six Evo,Shimano C60,Road,908800,36,51:07.0,49:11.0
Cannondale Super Six Evo,Zipp 202,Road,965700,36,51:25.0,48:54.5
Cannondale Super Six Evo,Zipp 353 NSW,Road,1072100,36,51:01.0,48:52.0
Cannondale Super Six Evo,Zipp 404,Road,965700,36,50:57.0,48:56.0
Cannondale Super Six Evo,Zipp 454,Road,1100500,36,50:54.0,48:53.0
Cannondale Super Six Evo,Zipp 808,Road,994100,36,50:48.0,49:02.0
Cannondale Super Six Evo,Zipp 808/Super9,Road,1892200,36,50:39.0,49:11.0
Cannondale Super Six Evo,Zipp 858,Road,1128900,37,50:44.0,48:59.0
Cannondale Super Six Evo,Zipp 858/Super9,Road,2325300,45,50:37.0,49:10.0
Cannondale Super Six Evo,Zwift 32mm Carbon,Road,816500,36,51:30.0,49:00.0
Cannondale Super Six Evo,Zwift 50mm Carbon,Road,937200,36,51:17.5,49:01.0
Cannondale Super Six Evo,Zwift Buffalo Fahrrad,Road,819700,40,51:35.0,49:07.0
Cannondale Super Six Evo,Zwift Classic,Road,852100,36,51:36.0,49:08.0
Cannondale Super Six Evo,Zwift Safety,Road,1526500,44,51:30.5,48:59.5
Cannondale Synapse,Bontrager Aeolus5,Road,468600,20,51:14.5,49:07.0
Cannondale Synapse,CADEX 36,Road,555600,26,51:27.0,49:02.5
Cannondale Synapse,CADEX 42,Road,525400,12,51:17.5,49:05.0
Cannondale Synapse,Campagnolo Bora Ultra 35,Road,546700,33,51:34.0,49:04.5
Cannondale Synapse,Campagnolo Bora Ultra 50,Road,560900,27,51:07.5,49:04.5
Cannondale Synapse,DT Swiss ARC 1100 DICUT 62,Road,482800,12,50:59.5,49:03.5
Cannondale Synapse,DT Swiss ARC 1100 DICUT DISC,Road,1878000,42,50:34.0,49:22.0
Cannondale Synapse,ENVE SES 2.2,Road,489900,17,51:33.5,49:04.5
Cannondale Synapse,ENVE SES 3.4,Road,489900,12,51:07.5,49:03.0
Cannondale Synapse,ENVE SES 6.7,Road,489900,25,51:01.5,49:11.0
Cannondale Synapse,ENVE SES 7.8,Road,504100,39,50:49.0,49:07.0
Cannondale Synapse,ENVE SES 8.9,Road,504100,31,50:50.0,49:15.5
Cannondale Synapse,FFWD RYOT55,Road,411900,23,51:07.0,49:03.0
Cannondale Synapse,Giant SLR 0,Road,490000,22,51:10.5,49:03.5
Cannondale Synapse,Lightweight Meilenstein,Road,298200,12,51:20.0,48:55.0
Cannondale Synapse,Mavic Comete Pro Carbon SL UST,Road,440200,23,51:08.0,49:21.5
Cannondale Synapse,Mavic Cosmic CXR60c,Road,440200,16,51:12.0,49:19.5
Cannondale Synapse,Mavic Cosmic Ultimate UST,Road,440200,12,51:14.5,49:17.0
Cannondale Synapse,Novatec R4,Road,394100,24,51:30.0,49:16.0
Cannondale Synapse,Roval Alpinist CLX,Road,433500,32,51:20.5,48:55.0
Cannondale Synapse,Roval CLX64,Road,468600,12,51:03.5,49:11.0
Cannondale Synapse,Roval Rapide CLX,Road,493500,14,51:03.5,49:06.0
Cannondale Synapse,Shimano C40,Road,383500,12,51:21.5,49:14.5
Cannondale Synapse,Shimano C50,Road,386900,28,50:59.0,49:18.5
Cannondale Synapse,Shimano C50,Road,386900,28,50:59.0,49:18.5
Cannondale Synapse,Shimano C60,Road,390500,18,51:10.5,49:22.0
Cannondale Synapse,Zipp 202,Road,447400,12,51:28.5,49:05.5
Cannondale Synapse,Zipp 353 NSW,Road,553800,19,51:04.5,49:03.0
Cannondale Synapse,Zipp 404,Road,447400,15,51:00.5,49:07.0
Cannondale Synapse,Zipp 454,Road,582200,24,50:57.5,49:04.0
Cannondale Synapse,Zipp 808,Road,475800,13,50:51.5,49:13.0
Cannondale Synapse,Zipp 808/Super9,Road,1373900,35,50:42.5,49:22.0
Cannondale Synapse,Zipp 858,Road,610600,37,50:47.5,49:10.0
Cannondale Synapse,Zipp 858/Super9,Road,1807000,45,50:40.5,49:21.0
Cannondale Synapse,Zwift 32mm Carbon,Road,298200,12,51:33.5,49:11.0
Cannondale Synapse,Zwift 50mm Carbon,Road,418900,12,51:21.0,49:12.0
Cannondale Synapse,Zwift Buffalo Fahrrad,Road,301400,40,51:38.5,49:18.0
Cannondale Synapse,Zwift Classic,Road,333800,12,51:39.5,49:19.0
Cannondale Synapse,Zwift Safety,Road,1008200,44,51:34.0,49:10.5
Cannondale System Six,Bontrager Aeolus5,Road,667400,27,51:01.0,49:20.5
Cannondale System Six,CADEX 36,Road,754400,27,51:13.5,49:16.0
Cannondale System Six,CADEX 42,Road,724200,27,51:04.0,49:18.5
Cannondale System Six,Campagnolo Bora Ultra 35,Road,745500,33,51:20.5,49:18.0
Cannondale System Six,Campagnolo Bora Ultra 50,Road,759700,27,50:54.0,49:18.0
Cannondale System Six,DT Swiss ARC 1100 DICUT 62,Road,681600,27,50:46.0,49:17.0
Cannondale System Six,DT Swiss ARC 1100 DICUT DISC,Road,2076800,42,50:20.5,49:35.5
Cannondale System Six,ENVE SES 2.2,Road,688700,27,51:20.0,49:18.0
Cannondale System Six,ENVE SES 3.4,Road,688700,27,50:54.0,49:16.5
Cannondale System Six,ENVE SES 6.7,Road,688700,27,50:48.0,49:24.5
Cannondale System Six,ENVE SES 7.8,Road,702900,39,50:35.5,49:20.5
Cannondale System Six,ENVE SES 8.9,Road,702900,31,50:36.5,49:29.0
Cannondale System Six,FFWD RYOT55,Road,610700,27,50:53.5,49:16.5
Cannondale System Six,Giant SLR 0,Road,688800,27,50:57.0,49:17.0
Cannondale System Six,Lightweight Meilenstein,Road,497000,27,51:06.5,49:08.5
Cannondale System Six,Mavic Comete Pro Carbon SL UST,Road,639000,27,50:54.5,49:35.0
Cannondale System Six,Mavic Cosmic CXR60c,Road,639000,27,50:58.5,49:33.0
Cannondale System Six,Mavic Cosmic Ultimate UST,Road,639000,27,51:01.0,49:30.5
Cannondale System Six,Novatec R4,Road,592900,27,51:16.5,49:29.5
Cannondale System Six,Roval Alpinist CLX,Road,632300,32,51:07.0,49:08.5
Cannondale System Six,Roval CLX64,Road,667400,27,50:50.0,49:24.5
