component,make,model,component_type,cat,test_partner,tf,az
Moots Vamoots RCS,Moots,Vamoots RCS,Frame,Road,Zwift 32mm Carbon,51:36.5,49:54.0
Zwift Steel,Zwift,Steel,Frame,Road,Zwift 32mm Carbon,51:39.5,49:55.5
Specialized Shiv S-Works,Specialized,Shiv S-Works,Frame,TT,Zwift 32mm Carbon,49:58.0,50:02.0
Scott Plasma,Scott,Plasma,Frame,TT,Zwift 32mm Carbon,49:58.0,50:03.0
Cervelo P5,Cervelo,P5,Frame,TT,Zwift 32mm Carbon,49:51.0,50:03.5
Zwift Safety,Zwift,Safety,Frame,Road,Zwift 32mm Carbon,51:37.0,50:06.5
Diamondback Andean,Diamondback,Andean,Frame,TT,Zwift 32mm Carbon,49:58.0,50:07.5
Canyon Speedmax CF SLX Disc,Canyon,Speedmax CF SLX Disc,Frame,TT,Zwift 32mm Carbon,49:41.0,50:09.0
Felt IA,Felt,IA,Frame,TT,Zwift 32mm Carbon,49:44.0,50:09.5
Cervelo PX-Series,Cervelo,PX-Series,Frame,TT,Zwift 32mm Carbon,49:44.5,50:10.0
Cube Aerium,Cube,Aerium,Frame,TT,Zwift 32mm Carbon,49:58.5,50:10.5
Specialized Shiv,Specialized,Shiv,Frame,TT,Zwift 32mm Carbon,49:58.0,50:11.0
Specialized Shiv Disc,Specialized,Shiv Disc,Frame,TT,Zwift 32mm Carbon,49:46.0,50:11.0
BMC Timemachine01,BMC,Timemachine01,Frame,TT,Zwift 32mm Carbon,49:58.0,50:12.0
Canyon Speedmax,Canyon,Speedmax,Frame,TT,Zwift 32mm Carbon,49:58.0,50:12.5
Pinarello Bolide,Pinarello,Bolide,Frame,TT,Zwift 32mm Carbon,49:59.0,50:20.0
Pinarello Bolide TT,Pinarello,Bolide TT,Frame,TT,Zwift 32mm Carbon,49:59.0,50:21.0
Zwift TT,Zwift,TT,Frame,TT,Zwift 32mm Carbon,50:16.0,50:27.0
Ventum One,Ventum,One,Frame,TT,Zwift 32mm Carbon,49:54.5,50:35.0
Zwift Buffalo Fahrrad,Zwift,Buffalo Fahrrad,Frame,Road,Zwift 32mm Carbon,51:46.0,51:05.5
Canyon Grail,Canyon,Grail,Frame,Gravel,Zwift Gravel,53:49.0,51:24.0
Cervelo Aspero,Cervelo,Aspero,Frame,Gravel,Zwift Gravel,53:47.0,51:38.0
Canyon Inflite,Canyon,Inflite,Frame,Gravel,Zwift Gravel,53:53.0,51:54.0
Zwift Gravel,Zwift,Gravel,Frame,Gravel,Zwift Gravel,53:54.0,51:54.5
Lauf True Grit Bike,Lauf,True Grit Bike,Frame,Gravel,Zwift Gravel,53:57.0,52:22.0
Trek Super Caliber,Trek,Super Caliber,Frame,MTB,Zwift Mountain,55:41.0,55:23.0
Scott Spark RC,Scott,Spark RC,Frame,MTB,Zwift Mountain,55:42.0,55:30.0
Specialized Epic S-Works,Specialized,Epic S-Works,Frame,MTB,Zwift Mountain,55:42.5,55:35.0
Canyon Lux,Canyon,Lux,Frame,MTB,Zwift Mountain,55:43.5,55:40.0
Zwift Mountain,Zwift,Mountain,Frame,MTB,Zwift Mountain,55:52.5,55:51.0
Lightweight Meilenstein,Lightweight,Meilenstein,Wheel,Road,Zwift Aero,51:11.5,49:12.0
Roval Alpinist CLX,Roval,Alpinist CLX,Wheel,Road,Zwift Aero,51:12.0,49:12.0
CADEX 36,CADEX,36,Wheel,Road,Zwift Aero,51:18.5,49:19.5
ENVE SES 3.4,ENVE,SES 3.4,Wheel,Road,Zwift Aero,50:59.0,49:20.0
Zipp 353 NSW,Zipp,353 NSW,Wheel,Road,Zwift Aero,50:56.0,49:20.0
FFWD RYOT55,FFWD,RYOT55,Wheel,Road,Zwift Aero,50:58.5,49:20.0
Giant SLR 0,Giant,SLR 0,Wheel,Road,Zwift Aero,51:02.0,49:20.5
DT Swiss ARC 1100 DICUT 62,DT Swiss,ARC 1100 DICUT 62,Wheel,Road,Zwift Aero,50:51.0,49:20.5
CADEX 65,CADEX,65,Wheel,Road,Zwift Aero,,49:21.0
Zipp 454,Zipp,454,Wheel,Road,Zwift Aero,50:49.0,49:21.0
Campagnolo Bora Ultra 50,Campagnolo,Bora Ultra 50,Wheel,Road,Zwift Aero,50:59.0,49:21.5
Campagnolo Bora Ultra 35,Campagnolo,Bora Ultra 35,Wheel,Road,Zwift Aero,51:25.5,49:21.5
ENVE SES 2.2,ENVE,SES 2.2,Wheel,Road,Zwift Aero,51:25.0,49:21.5
CADEX 42,CADEX,42,Wheel,Road,Zwift Aero,51:09.0,49:22.0
Zipp 202,Zipp,202,Wheel,Road,Zwift Aero,51:20.0,49:22.5
Roval Rapide CLX,Roval,Rapide CLX,Wheel,Road,Zwift Aero,50:55.0,49:23.0
Bontrager Aeolus5,Bontrager,Aeolus5,Wheel,Road,Zwift Aero,51:06.0,49:24.0
ENVE SES 7.8,ENVE,SES 7.8,Wheel,Road,Zwift Aero,50:40.5,49:24.0
Zipp 404,Zipp,404,Wheel,Road,Zwift Aero,50:52.0,49:24.0
Zipp 858,Zipp,858,Wheel,Road,Zwift Aero,50:39.0,49:27.0
Zwift Safety,Zwift,Safety,Wheel,Road,Zwift Aero,51:25.5,49:27.5
Zwift 32mm Carbon,Zwift,32mm Carbon,Wheel,Road,Zwift Aero,51:25.0,49:28.0
ENVE SES 6.7,ENVE,SES 6.7,Wheel,Road,Zwift Aero,50:53.0,49:28.0
Roval CLX64,Roval,CLX64,Wheel,Road,Zwift Aero,50:55.0,49:28.0
Zwift 50mm Carbon,Zwift,50mm Carbon,Wheel,Road,Zwift Aero,51:12.5,49:29.0
Zipp 808,Zipp,808,Wheel,Road,Zwift Aero,50:43.0,49:30.0
Shimano C40,Shimano,C40,Wheel,Road,Zwift Aero,51:13.0,49:31.5
ENVE SES 8.9,ENVE,SES 8.9,Wheel,Road,Zwift Aero,50:41.5,49:32.5
Novatec R4,Novatec,R4,Wheel,Road,Zwift Aero,51:21.5,49:33.0
Mavic Cosmic Ultimate UST,Mavic,Cosmic Ultimate UST,Wheel,Road,Zwift Aero,51:06.0,49:34.0
Zwift Buffalo Fahrrad,Zwift,Buffalo Fahrrad,Wheel,Road,Zwift Aero,51:30.0,49:35.0
Shimano C50,Shimano,C50,Wheel,Road,Zwift Aero,50:50.5,49:35.5
Shimano C50,Shimano,C50,Wheel,Road,Zwift Aero,51:11.0,49:35.5
Zwift Classic,Zwift,Classic,Wheel,Road,Zwift Aero,51:31.0,49:36.0
Mavic Cosmic CXR60c,Mavic,Cosmic CXR60c,Wheel,Road,Zwift Aero,51:03.5,49:36.5
Zipp 858/Super9,Zipp,858/Super9,Wheel,Road,Zwift Aero,50:32.0,49:38.0
Mavic Comete Pro Carbon SL UST,Mavic,Comete Pro Carbon SL UST,Wheel,Road,Zwift Aero,50:59.5,49:38.5
DT Swiss ARC 1100 DICUT DISC,DT Swiss,ARC 1100 DICUT DISC,Wheel,Road,Zwift Aero,50:25.5,49:39.0
Shimano C60,Shimano,C60,Wheel,Road,Zwift Aero,51:02.0,49:39.0
Zipp 808/Super9,Zipp,808/Super9,Wheel,Road,Zwift Aero,50:34.0,49:39.0
Zwift Gravel,Zwift,Gravel,Wheel,Gravel,Zwift Gravel,53:54.0,51:54.5
Zwift Mountain,Zwift,Mountain,Wheel,MTB,Zwift Mountain,55:52.5,55:51.0
