component	type	test_partner	tf
Specialized Amira	Frame	Zwift 32mm Carbon	51:33.5
Specialized Amira S-Works	Frame	Zwift 32mm Carbon	51:33.5
Specialized Epic S-Works	Frame	Zwift Mountain	55:42.5
Specialized Roubaix	Frame	Zwift 32mm Carbon	51:34.0
Specialized Roubaix S-Works	Frame	Zwift 32mm Carbon	51:33.0
Specialized Ruby	Frame	Zwift 32mm Carbon	51:34.0
Specialized Ruby S-Works	Frame	Zwift 32mm Carbon	51:33.5
Specialized Shiv	Frame	Zwift 32mm Carbon	49:58.0
Specialized Shiv Disc	Frame	Zwift 32mm Carbon	49:46.0
Specialized Shiv S-Works	Frame	Zwift 32mm Carbon	49:58.0
Specialized Tarmac	Frame	Zwift 32mm Carbon	51:33.5
Specialized Tarmac Pro	Frame	Zwift 32mm Carbon	51:33.0
Specialized Tarmac SL7	Frame	Zwift 32mm Carbon	51:31.5
Specialized Venge	Frame	Zwift 32mm Carbon	51:20.0
Specialized Venge S-Works	Frame	Zwift 32mm Carbon	51:18.5
Trek Emonda	Frame	Zwift 32mm Carbon	51:33.5
Trek Emonda SL	Frame	Zwift 32mm Carbon	51:34.0
Trek Madone	Frame	Zwift 32mm Carbon	51:19.0
Trek Super Caliber	Frame	Zwift Mountain	55:41.0
Zwift Concept Z1	Frame	Zwift Concept Z1	50:28.0
Uranium Nuclear	Frame	Zwift 32mm Carbon	51:19.0
Van Rysel EDR CF	Frame	Zwift 32mm Carbon	51:34.5
Ventum One	Frame	Zwift 32mm Carbon	49:54.5
Zwift Aero	Frame	Zwift 32mm Carbon	51:25.0
Zwift Buffalo Fahrrad	Frame	Zwift 32mm Carbon	51:46.0
Zwift Carbon	Frame	Zwift 32mm Carbon	51:36.0
Zwift Gravel	Frame	Zwift Gravel	53:54.0
Zwift Mountain	Frame	Zwift Mountain	55:52.5
Zwift Safety	Frame	Zwift 32mm Carbon	51:37.0
Zwift Steel	Frame	Zwift 32mm Carbon	51:39.5
Zwift TT	Frame	Zwift 32mm Carbon	50:16.0
Zwift 32mm Carbon	Wheel	Zwift Aero	51:25.0
Zwift 50mm Carbon	Wheel	Zwift Aero	51:12.5
Bontrager Aeolus5	Wheel	Zwift Aero	51:06.0
CADEX 36	Wheel	Zwift Aero	51:18.5
CADEX 42	Wheel	Zwift Aero	51:09.0
CADEX 65	Wheel	Zwift Aero	
Campagnolo Bora Ultra 50	Wheel	Zwift Aero	50:59.0
Campagnolo Bora Ultra 35	Wheel	Zwift Aero	51:25.5
DT Swiss ARC 1100 DICUT 62	Wheel	Zwift Aero	50:51.0
DT Swiss ARC 1100 DICUT DISC	Wheel	Zwift Aero	50:25.5
ENVE SES 2.2	Wheel	Zwift Aero	51:25.0
ENVE SES 3.4	Wheel	Zwift Aero	50:59.0
ENVE SES 6.7	Wheel	Zwift Aero	50:53.0
ENVE SES 7.8	Wheel	Zwift Aero	50:40.5
ENVE SES 8.9	Wheel	Zwift Aero	50:41.5
FFWD RYOT55	Wheel	Zwift Aero	50:58.5
Giant SLR 0	Wheel	Zwift Aero	51:02.0
Lightweight Meilenstein	Wheel	Zwift Aero	51:11.5
Mavic Comete Pro Carbon SL UST	Wheel	Zwift Aero	50:59.5
Mavic Cosmic CXR60c	Wheel	Zwift Aero	51:03.5
Mavic Cosmic Ultimate UST	Wheel	Zwift Aero	51:06.0
Novatec R4	Wheel	Zwift Aero	51:21.5
Roval Alpinist CLX	Wheel	Zwift Aero	51:12.0
Roval CLX64	Wheel	Zwift Aero	50:55.0
Roval Rapide CLX	Wheel	Zwift Aero	50:55.0
Shimano C40	Wheel	Zwift Aero	51:13.0
Shimano C50	Wheel	Zwift Aero	50:50.5
Shimano C50	Wheel	Zwift Aero	51:11.0
Shimano C60	Wheel	Zwift Aero	51:02.0
Zipp 202	Wheel	Zwift Aero	51:20.0
Zipp 353 NSW	Wheel	Zwift Aero	50:56.0
Zipp 404	Wheel	Zwift Aero	50:52.0
Zipp 454	Wheel	Zwift Aero	50:49.0
Zipp 808	Wheel	Zwift Aero	50:43.0
Zipp 808/Super9	Wheel	Zwift Aero	50:34.0
Zipp 858	Wheel	Zwift Aero	50:39.0
Zipp 858/Super9	Wheel	Zwift Aero	50:32.0
Zwift Buffalo Fahrrad	Wheel	Zwift Aero	51:30.0
Zwift Classic	Wheel	Zwift Aero	51:31.0
Zwift Gravel	Wheel	Zwift Gravel	53:54.0
Zwift Mountain	Wheel	Zwift Mountain	55:52.5
Zwift Safety	Wheel	Zwift Aero	51:25.5
