component	type	test_partner	az
Specialized Tarmac	Frame	Zwift 32mm Carbon	49:01.0
Specialized Tarmac Pro	Frame	Zwift 32mm Carbon	48:56.0
Specialized Tarmac SL7	Frame	Zwift 32mm Carbon	49:18.0
Specialized Venge	Frame	Zwift 32mm Carbon	49:23.0
Specialized Venge S-Works	Frame	Zwift 32mm Carbon	49:05.0
Trek Emonda	Frame	Zwift 32mm Carbon	48:58.0
Trek Emonda SL	Frame	Zwift 32mm Carbon	49:03.0
Trek Madone	Frame	Zwift 32mm Carbon	49:12.0
Trek Super Caliber	Frame	Zwift Mountain	55:23.0
Zwift Concept Z1	Frame	Zwift Concept Z1	48:58.0
Uranium Nuclear	Frame	Zwift 32mm Carbon	49:28.0
Van Rysel EDR CF	Frame	Zwift 32mm Carbon	49:20.0
Ventum One	Frame	Zwift 32mm Carbon	50:35.0
Zwift Aero	Frame	Zwift 32mm Carbon	49:28.0
Zwift Buffalo Fahrrad	Frame	Zwift 32mm Carbon	51:05.5
Zwift Carbon	Frame	Zwift 32mm Carbon	49:47.0
Zwift Gravel	Frame	Zwift Gravel	51:54.5
Zwift Mountain	Frame	Zwift Mountain	55:51.0
Zwift Safety	Frame	Zwift 32mm Carbon	50:06.5
Zwift Steel	Frame	Zwift 32mm Carbon	49:55.5
Zwift TT	Frame	Zwift 32mm Carbon	50:27.0
Zwift 32mm Carbon	Wheel	Zwift Aero	49:28.0
Zwift 50mm Carbon	Wheel	Zwift Aero	49:29.0
Bontrager Aeolus5	Wheel	Zwift Aero	49:24.0
CADEX 36	Wheel	Zwift Aero	49:19.5
CADEX 42	Wheel	Zwift Aero	49:22.0
CADEX 65	Wheel	Zwift Aero	49:21.0
Campagnolo Bora Ultra 50	Wheel	Zwift Aero	49:21.5
Campagnolo Bora Ultra 35	Wheel	Zwift Aero	49:21.5
DT Swiss ARC 1100 DICUT 62	Wheel	Zwift Aero	49:20.5
DT Swiss ARC 1100 DICUT DISC	Wheel	Zwift Aero	49:39.0
ENVE SES 2.2	Wheel	Zwift Aero	49:21.5
ENVE SES 3.4	Wheel	Zwift Aero	49:20.0
ENVE SES 6.7	Wheel	Zwift Aero	49:28.0
ENVE SES 7.8	Wheel	Zwift Aero	49:24.0
ENVE SES 8.9	Wheel	Zwift Aero	49:32.5
FFWD RYOT55	Wheel	Zwift Aero	49:20.0
Giant SLR 0	Wheel	Zwift Aero	49:20.5
Lightweight Meilenstein	Wheel	Zwift Aero	49:12.0
Mavic Comete Pro Carbon SL UST	Wheel	Zwift Aero	49:38.5
Mavic Cosmic CXR60c	Wheel	Zwift Aero	49:36.5
Mavic Cosmic Ultimate UST	Wheel	Zwift Aero	49:34.0
Novatec R4	Wheel	Zwift Aero	49:33.0
Roval Alpinist CLX	Wheel	Zwift Aero	49:12.0
Roval CLX64	Wheel	Zwift Aero	49:28.0
Roval Rapide CLX	Wheel	Zwift Aero	49:23.0
Shimano C40	Wheel	Zwift Aero	49:31.5
Shimano C50	Wheel	Zwift Aero	49:35.5
Shimano C50	Wheel	Zwift Aero	49:35.5
Shimano C60	Wheel	Zwift Aero	49:39.0
Zipp 202	Wheel	Zwift Aero	49:22.5
Zipp 353 NSW	Wheel	Zwift Aero	49:20.0
Zipp 404	Wheel	Zwift Aero	49:24.0
Zipp 454	Wheel	Zwift Aero	49:21.0
Zipp 808	Wheel	Zwift Aero	49:30.0
Zipp 808/Super9	Wheel	Zwift Aero	49:39.0
Zipp 858	Wheel	Zwift Aero	49:27.0
Zipp 858/Super9	Wheel	Zwift Aero	49:38.0
Zwift Buffalo Fahrrad	Wheel	Zwift Aero	49:35.0
Zwift Classic	Wheel	Zwift Aero	49:36.0
Zwift Gravel	Wheel	Zwift Gravel	51:54.5
Zwift Mountain	Wheel	Zwift Mountain	55:51.0
Zwift Safety	Wheel	Zwift Aero	49:27.5
